episode_signature,episode_title,image_link
S30E11,A Cold Spring Day,painting396.jpg
S30E12,Evening's Glow,painting397.jpg
S30E13,Blue Ridge Falls,painting398.jpg
S31E1,Reflections of Calm,painting399.jpg
S31E2,Before the Snowfall,painting400.jpg
S31E3,Winding Stream,painting401.jpg
S31E4,Tranquility Cove,painting402.jpg
S31E5,Cabin in the Hollow,painting403.jpg
S31E6,View from Clear Creek,painting404.jpg
S31E7,Bridge to Autumn,painting405.jpg
S31E8,Trail's End,painting406.jpg
S31E9,Evergreen Valley,painting407.jpg
S31E10,Balmy Beach,painting408.jpg
S31E11,Lake at the Ridge,painting409.jpg
S31E12,In the Midst of Winter,painting410.jpg
S31E13,Wilderness Day,painting411.jpg
